generator,noise,strategy,repeats,max_steps,seed,attempt,stop_reason,abs_err_x,uncert,final_entropy,measurements,expected_uniform_points,sobol_baseline_steps,sobol_difference,steps_to_fb,err_fb_at_milestone,err_fc_at_milestone,fc_at_milestone,overall_uncert_at_milestone,final_err_fb,final_err_fc,final_overall_uncert,final_steps,err_fb_diff,err_fc_diff,duration_ms,sweep_steps,locator_steps,dips_detected,total_dip_width,min_dip_width,expected_focused_points,sweep_efficiency,measurements_done,acquisition_lo,acquisition_hi,sobol_freq_steps,sobol_conv_diff
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,38,locator_stop,88839.77104949951,97515.3234321624,32.63209379347282,3000,33.52724224643741,,-2966.4727577535627,,,,,,88839.77104949951,52667.57261706516,35765.93843418547,3000,,,925316.2687000004,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,39,locator_stop,765705.5592012405,77536.6643210873,30.840983274155413,3000,45.09357384441912,,-2954.906426155581,,,,,,765705.5592012405,582639.6310197171,26431.769925618155,3000,,,983202.1155999973,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,40,locator_stop,15849.39811038971,48347.04304812476,28.564127157364958,3000,56.09817671809256,,-2943.9018232819076,,,,,,15849.39811038971,6376.94716798421,15235.654225914188,3000,,,894079.0170000109,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,41,locator_stop,3257648.0530729294,85376.70510122553,28.699746763425956,3000,57.14000000000143,,-2942.8599999999988,,,,,,3257648.0530729294,2403037.773268359,20290.569754123313,3000,,,1122902.7661000001,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,42,locator_stop,1404253.325387001,50210.79414291307,22.077407171163465,3000,129.02580645161564,,-2870.9741935483844,,,,,,1404253.325387001,1355259.465527866,8905.91039168071,3000,,,1156111.6054999875,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,43,locator_stop,93323.50247097015,64083.82614608854,27.937477143975254,3000,106.377659574471,,-2893.622340425529,,,,,,93323.50247097015,49786.658488004,15399.028732223318,3000,,,1167969.0822000266,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,44,locator_stop,450689.38625335693,83616.58547073603,30.68161969293194,3000,66.22185430463459,,-2933.7781456953653,,,,,,450689.38625335693,216371.2830255134,24919.354594422868,3000,,,1198090.9026000008,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,45,locator_stop,1866520.8040037155,87845.45207163319,25.96711245585623,3000,50.694550063371295,,-2949.3054499366285,,,,,,1866520.8040037155,36477.24477288406,15871.700892015682,3000,,,1338343.1521999883,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,46,locator_stop,2635635.645740986,73549.77424256504,24.15571700404432,3000,62.30218068535731,,-2937.697819314643,,,,,,2635635.645740986,3667787.6602383126,12983.04715264716,3000,,,1527586.9134000095,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,47,locator_stop,60587.1361041069,56477.48548653908,27.370118876967258,3000,53.40186915887833,,-2946.5981308411215,,,,,,60587.1361041069,14201.970874296501,14065.516005014326,3000,,,1664077.531499992,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,48,locator_stop,3854251.797139168,91748.66863759235,28.84448767918553,3000,48.48242424242407,,-2951.5175757575757,,,,,,3854251.797139168,2369035.377942173,19201.827424869964,3000,,,1561072.119999997,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,49,locator_stop,19672.121060848236,89594.0320333466,31.27342193476248,3000,37.556807511736885,,-2962.4431924882633,,,,,,19672.121060848236,75637.93752352986,27163.13943039614,3000,,,808173.3219000162,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,50,locator_stop,3848243.252371311,79181.5691627562,28.25398721411679,3000,53.83310901749712,,-2946.166890982503,,,,,,3848243.252371311,2753290.678429501,18119.232829110195,3000,,,857731.9543000194,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,51,locator_stop,58219.760100364685,64975.662098731846,28.13963203202115,3000,61.06564885496255,,-2938.9343511450375,,,,,,58219.760100364685,24749.621937172487,15670.927786219743,3000,,,875014.8230999766,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,52,locator_stop,1376934.37221241,97066.92071631551,32.036337957296475,3000,49.38024691357978,,-2950.61975308642,,,,,,1376934.37221241,1125253.8072478138,33301.87702448102,3000,,,882624.5611000049,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,53,locator_stop,62199.69790315628,56051.9183636643,30.263220191865088,3000,89.88314606741551,,-2910.1168539325845,,,,,,62199.69790315628,47506.82282875385,19933.57166482136,3000,,,892665.6155999808,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,54,locator_stop,3924889.034527302,53350.6135980133,22.61846582875061,3000,68.48972602739708,,-2931.510273972603,,,,,,3924889.034527302,5255214.824703491,9514.214502225497,3000,,,920081.8987000093,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,55,locator_stop,26176.996052265167,68171.43002990633,26.97689807112733,3000,107.52150537634533,,-2892.4784946236546,,,,,,26176.996052265167,39532.295610549394,14338.18325566707,3000,,,958371.4709999913,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,56,locator_stop,12038.879467010498,69800.29866099358,28.870294187547444,3000,100.24561403508935,,-2899.754385964911,,,,,,12038.879467010498,26287.42350634979,17661.003115105446,3000,,,976211.2103999825,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,57,locator_stop,2679331.281817436,49865.89192412794,22.63220341132953,3000,125.38557993730451,,-2874.6144200626954,,,,,,2679331.281817436,2056217.7793754973,9011.224003102187,3000,,,1034605.1681999816,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,58,locator_stop,18639.32094144821,62717.24123507738,29.387573507800838,3000,45.86926605504639,,-2954.1307339449536,,,,,,18639.32094144821,18317.6312822327,19441.008457064625,3000,,,1024933.6311999941,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,59,locator_stop,41291.19713973999,47174.53339253552,27.00229762299351,3000,62.399375975039746,,-2937.6006240249603,,,,,,41291.19713973999,1539.7025774409994,12812.337863095885,3000,,,1133550.560600008,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,60,locator_stop,32643.68345117569,71522.19768613577,30.42160086477417,3000,76.77159309021091,,-2923.228406909789,,,,,,32643.68345117569,56588.249644916505,23433.319986742736,3000,,,1125733.453199995,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,61,locator_stop,3543032.114056587,81963.39331334457,30.439964459912353,3000,43.665938864628785,,-2956.334061135371,,,,,,3543032.114056587,2546819.887873849,23597.990094859535,3000,,,1109782.325200009,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,62,locator_stop,33886.36617851257,56055.640015983954,28.809797325931136,3000,67.79322033898386,,-2932.2067796610163,,,,,,33886.36617851257,15240.901664226316,16393.574206435365,3000,,,1185536.7010000045,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,63,locator_stop,699212.9265117645,88599.32859195396,32.48671272267268,3000,40.68972533062071,,-2959.3102746693794,,,,,,699212.9265117645,424049.6608781554,34811.14151635889,3000,,,17925.2060999861,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,64,locator_stop,633888.3611650467,113829.78118490428,26.778619369918626,3000,108.69021739130926,,-2891.3097826086905,,,,,,633888.3611650467,1913961.3796548117,20145.15574243374,3000,,,17012.39099999657,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,65,locator_stop,363359.5282640457,91120.36786973476,31.24997335959769,3000,65.1433224755704,,-2934.8566775244294,,,,,,363359.5282640457,296494.7267058082,27825.584664605183,3000,,,29869.244000001345,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,66,locator_stop,806286.8944101334,92742.02602682635,26.114784470086036,3000,72.7236363636369,,-2927.276363636363,,,,,,806286.8944101334,1481217.0444945507,16665.95435068799,3000,,,39178.65729998448,0,3000,,,,,,,,,,
